name,props_count,difficulty,tags,comment,max_throw,siteswap_x
face balance + sit down and stand up,1,38,isolated,balance one object on the face then sit down and stand back up without dropping,,
single finger balance -> single spin -> single finger balance,1,55,isolated,"balance on one finger, do a single spin, catch back into single finger balance",,
